"index","date","power_consumption","year","semester","quarter","day_in_week","week_in_year","day_in_year","month"
"1","12/16/2006","1209.176","2006","2","4","Sat","50","350","12"
"2","12/17/2006","3390.46","2006","2","4","Sun","51","351","12"
"3","12/18/2006","2203.826","2006","2","4","Mon","51","352","12"
"4","12/19/2006","1666.194","2006","2","4","Tue","51","353","12"
"5","12/20/2006","2225.748","2006","2","4","Wed","51","354","12"
"6","12/21/2006","1716.624","2006","2","4","Thu","51","355","12"
"7","12/22/2006","2341.338","2006","2","4","Fri","51","356","12"
"8","12/23/2006","4773.386","2006","2","4","Sat","51","357","12"
"9","12/24/2006","2550.012","2006","2","4","Sun","52","358","12"
"10","12/25/2006","2743.12","2006","2","4","Mon","52","359","12"
"11","12/26/2006","3934.11","2006","2","4","Tue","52","360","12"
"12","12/27/2006","1528.76","2006","2","4","Wed","52","361","12"
"13","12/28/2006","2072.638","2006","2","4","Thu","52","362","12"
"14","12/29/2006","3174.392","2006","2","4","Fri","52","363","12"
"15","12/30/2006","2789.302","2006","2","4","Sat","52","364","12"
"16","12/31/2006","3494.196","2006","2","4","Sun","53","365","12"
"17","1/1/2007","2749.004","2007","1","1","Mon","1","1","1"
"18","1/2/2007","1269.236","2007","1","1","Tue","1","2","1"
"19","1/3/2007","1014.054","2007","1","1","Wed","1","3","1"
"20","1/4/2007","3259.412","2007","1","1","Thu","1","4","1"
"21","1/5/2007","2713.364","2007","1","1","Fri","1","5","1"
"22","1/6/2007","1508.378","2007","1","1","Sat","1","6","1"
"23","1/7/2007","2447.62","2007","1","1","Sun","1","7","1"
"24","1/8/2007","2241.36","2007","1","1","Mon","2","8","1"
"25","1/9/2007","1869.054","2007","1","1","Tue","2","9","1"
"26","1/10/2007","2154.8","2007","1","1","Wed","2","10","1"
"27","1/11/2007","2255.194","2007","1","1","Thu","2","11","1"
"28","1/12/2007","1461.296","2007","1","1","Fri","2","12","1"
"29","1/13/2007","3186.814","2007","1","1","Sat","2","13","1"
"30","1/14/2007","3007.816","2007","1","1","Sun","2","14","1"
"31","1/15/2007","2148.678","2007","1","1","Mon","3","15","1"
"32","1/16/2007","1686.404","2007","1","1","Tue","3","16","1"
"33","1/17/2007","2847.688","2007","1","1","Wed","3","17","1"
"34","1/18/2007","1821.462","2007","1","1","Thu","3","18","1"
"35","1/19/2007","1480.44","2007","1","1","Fri","3","19","1"
"36","1/20/2007","3133.732","2007","1","1","Sat","3","20","1"
"37","1/21/2007","3407.262","2007","1","1","Sun","3","21","1"
"38","1/22/2007","2180.494","2007","1","1","Mon","4","22","1"
"39","1/23/2007","1777.64","2007","1","1","Tue","4","23","1"
"40","1/24/2007","2987.854","2007","1","1","Wed","4","24","1"
"41","1/25/2007","1596.344","2007","1","1","Thu","4","25","1"
"42","1/26/2007","1617.972","2007","1","1","Fri","4","26","1"
"43","1/27/2007","2044.072","2007","1","1","Sat","4","27","1"
"44","1/28/2007","3090.204","2007","1","1","Sun","4","28","1"
"45","1/29/2007","1982.664","2007","1","1","Mon","5","29","1"
"46","1/30/2007","1707.798","2007","1","1","Tue","5","30","1"
"47","1/31/2007","2363.752","2007","1","1","Wed","5","31","1"
"48","2/1/2007","1824.76","2007","1","1","Thu","5","32","2"
"49","2/2/2007","1667.736","2007","1","1","Fri","5","33","2"
"50","2/3/2007","4029.722","2007","1","1","Sat","5","34","2"
"51","2/4/2007","3595.94","2007","1","1","Sun","5","35","2"
"52","2/5/2007","1645.28","2007","1","1","Mon","6","36","2"
"53","2/6/2007","1273.48","2007","1","1","Tue","6","37","2"
"54","2/7/2007","2328.018","2007","1","1","Wed","6","38","2"
"55","2/8/2007","1801.414","2007","1","1","Thu","6","39","2"
"56","2/9/2007","1620.198","2007","1","1","Fri","6","40","2"
"57","2/10/2007","2829.328","2007","1","1","Sat","6","41","2"
"58","2/11/2007","3571.228","2007","1","1","Sun","6","42","2"
"59","2/12/2007","1877.61","2007","1","1","Mon","7","43","2"
"60","2/13/2007","1414.546","2007","1","1","Tue","7","44","2"
"61","2/14/2007","2498.672","2007","1","1","Wed","7","45","2"
"62","2/15/2007","1985.346","2007","1","1","Thu","7","46","2"
"63","2/16/2007","1702.528","2007","1","1","Fri","7","47","2"
"64","2/17/2007","2076.912","2007","1","1","Sat","7","48","2"
"65","2/18/2007","3829.762","2007","1","1","Sun","7","49","2"
"66","2/19/2007","2186.614","2007","1","1","Mon","8","50","2"
"67","2/20/2007","3149.928","2007","1","1","Tue","8","51","2"
"68","2/21/2007","2072.874","2007","1","1","Wed","8","52","2"
"69","2/22/2007","3369.478","2007","1","1","Thu","8","53","2"
"70","2/23/2007","1313.48","2007","1","1","Fri","8","54","2"
"71","2/24/2007","714.922","2007","1","1","Sat","8","55","2"
"72","2/25/2007","501.74","2007","1","1","Sun","8","56","2"
"73","2/26/2007","568.484","2007","1","1","Mon","9","57","2"
"74","2/27/2007","518.112","2007","1","1","Tue","9","58","2"
"75","2/28/2007","520.774","2007","1","1","Wed","9","59","2"
"76","3/1/2007","517.564","2007","1","1","Thu","9","60","3"
"77","3/2/2007","515.688","2007","1","1","Fri","9","61","3"
"78","3/3/2007","819.122","2007","1","1","Sat","9","62","3"
"79","3/4/2007","2090.7","2007","1","1","Sun","9","63","3"
"80","3/5/2007","2660.332","2007","1","1","Mon","10","64","3"
"81","3/6/2007","1246.5","2007","1","1","Tue","10","65","3"
"82","3/7/2007","2375.206","2007","1","1","Wed","10","66","3"
"83","3/8/2007","1572.132","2007","1","1","Thu","10","67","3"
"84","3/9/2007","1272.612","2007","1","1","Fri","10","68","3"
"85","3/10/2007","2484.712","2007","1","1","Sat","10","69","3"
"86","3/11/2007","3480.636","2007","1","1","Sun","10","70","3"
"87","3/12/2007","1950.668","2007","1","1","Mon","11","71","3"
"88","3/13/2007","1290.144","2007","1","1","Tue","11","72","3"
"89","3/14/2007","1793.364","2007","1","1","Wed","11","73","3"
"90","3/15/2007","1884.814","2007","1","1","Thu","11","74","3"
"91","3/16/2007","1702.054","2007","1","1","Fri","11","75","3"
"92","3/17/2007","2028.09","2007","1","1","Sat","11","76","3"
"93","3/18/2007","2371.046","2007","1","1","Sun","11","77","3"
"94","3/19/2007","2152.518","2007","1","1","Mon","12","78","3"
"95","3/20/2007","2086.228","2007","1","1","Tue","12","79","3"
"96","3/21/2007","2142.092","2007","1","1","Wed","12","80","3"
"97","3/22/2007","1454.978","2007","1","1","Thu","12","81","3"
"98","3/23/2007","1309.008","2007","1","1","Fri","12","82","3"
"99","3/24/2007","2968.43","2007","1","1","Sat","12","83","3"
"100","3/25/2007","3336.124","2007","1","1","Sun","12","84","3"
"101","3/26/2007","1416.082","2007","1","1","Mon","13","85","3"
"102","3/27/2007","1105.14","2007","1","1","Tue","13","86","3"
"103","3/28/2007","2333.898","2007","1","1","Wed","13","87","3"
"104","3/29/2007","1590.406","2007","1","1","Thu","13","88","3"
"105","3/30/2007","1402.394","2007","1","1","Fri","13","89","3"
"106","3/31/2007","3509.51","2007","1","1","Sat","13","90","3"
"107","4/1/2007","2785.952","2007","1","2","Sun","13","91","4"
"108","4/2/2007","1960.778","2007","1","2","Mon","14","92","4"
"109","4/3/2007","1642.82","2007","1","2","Tue","14","93","4"
"110","4/4/2007","2051.868","2007","1","2","Wed","14","94","4"
"111","4/5/2007","1844.078","2007","1","2","Thu","14","95","4"
"112","4/6/2007","1601.14","2007","1","2","Fri","14","96","4"
"113","4/7/2007","1553.924","2007","1","2","Sat","14","97","4"
"114","4/8/2007","1608.816","2007","1","2","Sun","14","98","4"
"115","4/9/2007","1000.92","2007","1","2","Mon","15","99","4"
"116","4/10/2007","777.364","2007","1","2","Tue","15","100","4"
"117","4/11/2007","887.482","2007","1","2","Wed","15","101","4"
"118","4/12/2007","537.706","2007","1","2","Thu","15","102","4"
"119","4/13/2007","551.022","2007","1","2","Fri","15","103","4"
"120","4/14/2007","554.268","2007","1","2","Sat","15","104","4"
"121","4/15/2007","726.164","2007","1","2","Sun","15","105","4"
"122","4/16/2007","952.39","2007","1","2","Mon","16","106","4"
"123","4/17/2007","1223.734","2007","1","2","Tue","16","107","4"
"124","4/18/2007","998.246","2007","1","2","Wed","16","108","4"
"125","4/19/2007","1028.658","2007","1","2","Thu","16","109","4"
"126","4/20/2007","822.58","2007","1","2","Fri","16","110","4"
"127","4/21/2007","1673.656","2007","1","2","Sat","16","111","4"
"128","4/22/2007","2233.714","2007","1","2","Sun","16","112","4"
"129","4/23/2007","1054.566","2007","1","2","Mon","17","113","4"
"130","4/24/2007","1032.1","2007","1","2","Tue","17","114","4"
"131","4/25/2007","1264.162","2007","1","2","Wed","17","115","4"
"132","4/26/2007","1275.466","2007","1","2","Thu","17","116","4"
"133","4/27/2007","1094.332","2007","1","2","Fri","17","117","4"
"134","4/28/2007","22.738","2007","1","2","Sat","17","118","4"
"135","4/29/2007","0","2007","1","2","Sun","17","119","4"
"136","4/30/2007","420.822","2007","1","2","Mon","18","120","4"
"137","5/1/2007","1663.858","2007","1","2","Tue","18","121","5"
"138","5/2/2007","1003.486","2007","1","2","Wed","18","122","5"
"139","5/3/2007","1090.238","2007","1","2","Thu","18","123","5"
"140","5/4/2007","998.128","2007","1","2","Fri","18","124","5"
"141","5/5/2007","1563.052","2007","1","2","Sat","18","125","5"
"142","5/6/2007","2102.104","2007","1","2","Sun","18","126","5"
"143","5/7/2007","1643.664","2007","1","2","Mon","19","127","5"
"144","5/8/2007","1789.292","2007","1","2","Tue","19","128","5"
"145","5/9/2007","1665.736","2007","1","2","Wed","19","129","5"
"146","5/10/2007","707.884","2007","1","2","Thu","19","130","5"
"147","5/11/2007","979.154","2007","1","2","Fri","19","131","5"
"148","5/12/2007","1441.566","2007","1","2","Sat","19","132","5"
"149","5/13/2007","1634.738","2007","1","2","Sun","19","133","5"
"150","5/14/2007","1467.782","2007","1","2","Mon","20","134","5"
"151","5/15/2007","904.392","2007","1","2","Tue","20","135","5"
"152","5/16/2007","1692.944","2007","1","2","Wed","20","136","5"
"153","5/17/2007","1231.816","2007","1","2","Thu","20","137","5"
"154","5/18/2007","1631.53","2007","1","2","Fri","20","138","5"
"155","5/19/2007","1429.442","2007","1","2","Sat","20","139","5"
"156","5/20/2007","1968.328","2007","1","2","Sun","20","140","5"
"157","5/21/2007","1120.062","2007","1","2","Mon","21","141","5"
"158","5/22/2007","1132.852","2007","1","2","Tue","21","142","5"
"159","5/23/2007","1464.936","2007","1","2","Wed","21","143","5"
"160","5/24/2007","1154.388","2007","1","2","Thu","21","144","5"
"161","5/25/2007","1614.22","2007","1","2","Fri","21","145","5"
"162","5/26/2007","1512.248","2007","1","2","Sat","21","146","5"
"163","5/27/2007","2153.808","2007","1","2","Sun","21","147","5"
"164","5/28/2007","1637.468","2007","1","2","Mon","22","148","5"
"165","5/29/2007","1061.34","2007","1","2","Tue","22","149","5"
"166","5/30/2007","1609.866","2007","1","2","Wed","22","150","5"
"167","5/31/2007","938.55","2007","1","2","Thu","22","151","5"
"168","6/1/2007","1044.918","2007","1","2","Fri","22","152","6"
"169","6/2/2007","1484.362","2007","1","2","Sat","22","153","6"
"170","6/3/2007","2108.026","2007","1","2","Sun","22","154","6"
"171","6/4/2007","911.618","2007","1","2","Mon","23","155","6"
"172","6/5/2007","1458.892","2007","1","2","Tue","23","156","6"
"173","6/6/2007","1693.638","2007","1","2","Wed","23","157","6"
"174","6/7/2007","985.002","2007","1","2","Thu","23","158","6"
"175","6/8/2007","2148.046","2007","1","2","Fri","23","159","6"
"176","6/9/2007","1059.814","2007","1","2","Sat","23","160","6"
"177","6/10/2007","1340.812","2007","1","2","Sun","23","161","6"
"178","6/11/2007","794.654","2007","1","2","Mon","24","162","6"
"179","6/12/2007","918.766","2007","1","2","Tue","24","163","6"
"180","6/13/2007","927.272","2007","1","2","Wed","24","164","6"
"181","6/14/2007","1259.084","2007","1","2","Thu","24","165","6"
"182","6/15/2007","989.604","2007","1","2","Fri","24","166","6"
"183","6/16/2007","2017.762","2007","1","2","Sat","24","167","6"
"184","6/17/2007","1947.09","2007","1","2","Sun","24","168","6"
